benchmark,num_groups,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-misses:u,branches:u,cpu-cycles:u,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions:u,l3_cache_accesses,l3_misses,l1d_miss_rate,l1i_miss_rate
crc_large,1,429.0,239778559.0,1022.0,159793870.0,4065.0,79931195.0,772540481.0,117.0,186479873.0,93.0,159793912.0,612559302.0,1250.0,1250.0,1.7891507972570642e-06,6.395739711416965e-06
crc_small,1,429.0,12338746.0,1022.0,8222779.0,983.0,4114837.0,39856434.0,116.0,9595581.0,93.0,8222821.0,31520327.0,1250.0,1250.0,3.4768525099714344e-05,0.00012428888092456334
dijkstra_large,1,146574.0,56506710.0,1105.0,19041700.0,189966.0,46498858.0,158940313.0,73314.0,38092444.0,111.0,19041752.0,195934049.0,2177.0,2177.0,0.0025939220315604997,5.803053298812606e-05
dijkstra_small,1,29246.0,13138034.0,1075.0,4569072.0,40456.0,10220062.0,36061520.0,13771.0,8903250.0,117.0,4569129.0,44101908.0,2147.0,2147.0,0.002226056044610632,0.00023527753556958612
fft_large,1,71407.0,114109462.0,1289.0,47221406.0,1410615.0,50759343.0,278510666.0,66649.0,80297100.0,130.0,47221452.0,324628987.0,10465.0,9746.0,0.0006257763269447367,2.7296942407856303e-05
fft_small,1,5207.0,12683353.0,1251.0,5176614.0,148206.0,5815124.0,30786701.0,155.0,8891466.0,102.0,5176655.0,35890384.0,2512.0,2512.0,0.00041053812820631894,0.00024166375936084862
gsm_large,1,466.0,351885936.0,133635.0,100659579.0,2078695.0,65696316.0,816401819.0,384.0,273377518.0,109.0,100659624.0,1088685249.0,1759.0,1759.0,1.3242927674154047e-06,0.0013275934722516572
gsm_small,1,480.0,6492547.0,5417.0,1880659.0,45338.0,1250687.0,15390808.0,137.0,5039975.0,109.0,1880704.0,20102558.0,1700.0,1700.0,7.393092418121886e-05,0.002880373315949356
sha_large,1,6031.0,11670952.0,2137.0,10859098.0,4813.0,4735320.0,64484340.0,943.0,19157372.0,423.0,10859384.0,120330837.0,4324.0,4324.0,0.0005167530463667403,0.0001967935090004713
sha_small,1,6031.0,1178347.0,2137.0,1074958.0,4466.0,502324.0,6646339.0,944.0,1887645.0,423.0,1075244.0,11719506.0,4324.0,4324.0,0.005118186748046203,0.001987984646842016
