benchmark,num_groups,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-misses:u,branches:u,cpu-cycles:u,dTLB-load-misses,dTLB-loads,iTLB-load-hits,iTLB-load-misses,instructions:u,l3_cache_accesses,l3_misses,l1d_miss_rate,l1i_miss_rate
crc_large,3,35549,186443228,764,138716,7922,133421133,215630056,1179,274047365,163397851,639,612313225,1047154,139035,0.00019066930122020844,0.005507655930101791
crc_small,3,3950,9634949,134,11753,1489,7096636,10914704,362,14216058,8703157,480,31055241,114891,5142,0.00040996584413679826,0.011401344337615927
dijkstra_large,3,523187,57251059,1921,137950,247856,44005532,76011197,1540,64829192,36430539,537,196632467,249481,44711,0.009138468512870652,0.01392533526640087
dijkstra_small,3,101745,13123891,300,32805,51953,9919806,16295548,633,15464712,8470663,572,42933590,81336,10863,0.007752655062435371,0.009144947416552356
fft_large,3,182692,101781131,8756,7504697,934482,63619071,108149326,55201,184532360,107831558,222,322599951,1888513,1185842,0.001794949596305822,0.0011667359788143346
fft_small,3,9600,11565869,1257,982780,83256,7576645,11479621,283,19436575,11083714,241,33859209,240272,148906,0.0008300284224211774,0.0012790248071796334
gsm_large,3,24542,321416055,33109,15800824,2078046,58266730,379485118,1372,377077183,147267403,508,1088197055,812516,161353,7.635586218616241e-05,0.0020953970501791552
gsm_small,3,2109,5938269,1105,324144,42609,1154619,7188137,467,7062582,3119450,479,19132833,71568,9751,0.00035515400194905284,0.003408978725504714
sha_large,3,12625,11059208,1041,78608,11117,5201695,60922212,766,17346595,12807832,992,120069920,284908,11215,0.0011415826522116232,0.01324292692855689
sha_small,3,7495,1274043,741,49541,8540,639931,5750817,255,3962425,2216743,438,10583941,126529,3443,0.005882846968273441,0.014957308088250135
