benchmark,num_groups,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-misses:uk,branches:uk,cpu-cycles:uk,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions:uk,l3_cache_accesses,l3_misses,l1d_miss_rate,l1i_miss_rate
basicmath_large,3,38153007,1152281602,7125624,412854787,6936397,891276808,4359137972,4266,245023,80001,219,3799457784,46867542,29134032,0.033110835870136544,0.017259395371864734
basicmath_small,3,396400,40044274,328079,15723572,290658,28400423,145823824,728,52257,1155,251,123528429,1634283,1098536,0.009899043243985394,0.02086542421785584
bf_large,3,507663,113300849,31311,1359513,109424,56568042,169794852,2197,36846,363,1078,359236171,644889,22179,0.004480663688583657,0.02303104126256976
bf_small,3,64996,11154570,4835,200375,20384,5672789,17126548,367,7872,216,1069,35141170,100459,4143,0.0058268494437705804,0.02412975670617592
bitcount,3,14563,2679634,1832,100978,20590,8982374,9971697,285,3084,159,208,43310688,54996,5200,0.005434697425096114,0.018142565707381805
crc_large,3,632720,192842112,5863,1563765,45395,135919545,227731097,6914,19797,186,718,624517786,1115863,227754,0.003281026086252364,0.003749284579204676
crc_small,3,47061,10085596,2116,123992,7305,7371273,12165142,704,4857,188,317,32499971,117494,4280,0.004666159540794614,0.017065617136589457
dijkstra_large,3,558702,58785399,6049,490954,261877,44659463,79535069,543,6898,748,497,198242794,222619,38888,0.009504094715764369,0.012320909901946007
dijkstra_small,3,120819,13627334,2757,129228,56456,9861747,17374052,358,4321,332,521,46010581,86977,12373,0.008865930782939641,0.021334385736837217
fft_large,3,420934,122386380,21492,8335613,1264112,81811946,200489914,1344,61246,1980,200,389590320,2638514,696354,0.0034393859839632482,0.002578334670767465
fft_small,3,54087,14692605,3964,1166077,126041,9611256,23987303,302,2629,443,269,40469586,189850,98739,0.0036812396440250045,0.003399432456004192
gsm_large,3,151981,323712332,44753,16533474,2198673,61342390,392682820,569,18036,262,468,1097212683,767351,143432,0.0004694940074139653,0.002706811647691223
gsm_small,3,15907,6263728,3225,387079,49901,1324517,7863619,378,5116,192,679,20778020,77929,10163,0.0025395419469044635,0.008331632560795083
qsort_large,3,1561720,139550546,110719,23859739,1129980,108783845,389251216,4191,30216,3491,592,456364531,5600799,3613632,0.01119107051003584,0.004640411196451059
qsort_small,3,429452,17737161,13116,3320681,242054,8653552,58451858,888,9409,809,677,40720346,662907,369401,0.02421199198676722,0.00394979222635357
sha_large,3,117710,13075179,7641,720290,31248,6214516,64370524,992,15399,565,1005,125432027,299651,18968,0.009002553617047996,0.010608227241805384
sha_small,3,41778,2413060,5636,290487,22222,1313358,8095161,448,17879,459,881,15590059,121730,3763,0.01731328686398183,0.019401900945653333
susan_large,3,55277,77085278,2374,418101,117772,27579417,71942357,659,5203,334,842,364334612,223287,8291,0.0007170889362298207,0.005678053867366976
susan_small,3,15333,5341845,2330,104983,14162,1831045,5845996,448,2997,198,639,17418454,67170,2988,0.002870356590279201,0.02219406951601688
