
---------- Begin Simulation Statistics ----------
simSeconds                                   0.073203                       # Number of seconds simulated (Second)
simTicks                                  73203382032                       # Number of ticks simulated (Tick)
finalTick                                 73203382032                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1007.20                       # Real time elapsed on the host (Second)
hostTickRate                                 72680288                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8982836                       # Number of bytes of host memory used (Byte)
simInsts                                    201290192                       # Number of instructions simulated (Count)
simOps                                      374601883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   199852                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     371925                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        179420055                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.891350                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.121893                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       385591682                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    99792                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      382498712                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  69226                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11089585                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          18444725                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 792                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           179158118                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.134978                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.962777                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  52654474     29.39%     29.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  28824678     16.09%     45.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27608951     15.41%     60.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  22279475     12.44%     73.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  21658571     12.09%     85.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  15145180      8.45%     93.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8572589      4.78%     98.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1890361      1.06%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    297127      0.17%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                     54674      0.03%     99.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                   172038      0.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             179158118                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2231727     78.18%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     78.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 147505      5.17%     83.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     83.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     63      0.00%     83.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    11      0.00%     83.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     83.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     83.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     83.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   47      0.00%     83.35% # attempts to use FU when none available (Count)
