
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016261                       # Number of seconds simulated (Second)
simTicks                                  16261424664                       # Number of ticks simulated (Tick)
finalTick                                 16261424664                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    159.48                       # Real time elapsed on the host (Second)
hostTickRate                                101966937                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8947000                       # Number of bytes of host memory used (Byte)
simInsts                                     31520327                       # Number of instructions simulated (Count)
simOps                                       63037866                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   197647                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     395277                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         39856434                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.264468                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.790847                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        63062510                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      116                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       63059313                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      8                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                24754                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             19286                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 116                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            39781939                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.585124                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.692253                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13740678     34.54%     34.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9590608     24.11%     58.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8221473     20.67%     79.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1374629      3.46%     82.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1374159      3.45%     86.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5477396     13.77%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      2765      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       185      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        43      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                         3      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 9                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              39781939                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      66     22.60%     22.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     22.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     22.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     22.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     22.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     22.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     22.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     22.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     22.60% # attempts to use FU when none available (Count)
