
---------- Begin Simulation Statistics ----------
simSeconds                                   0.095568                       # Number of seconds simulated (Second)
simTicks                                  95568498936                       # Number of ticks simulated (Tick)
finalTick                                 99146282352                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1608.76                       # Real time elapsed on the host (Second)
hostTickRate                                 59405035                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8952600                       # Number of bytes of host memory used (Byte)
simInsts                                    314628987                       # Number of instructions simulated (Count)
simOps                                      589914879                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   195570                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     366686                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        234236517                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.744485                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.343211                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       602464096                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      117                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      598575888                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    555                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12549342                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          22693381                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  99                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           234185467                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.555991                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.136446                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  51844037     22.14%     22.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  38477802     16.43%     38.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  34643376     14.79%     53.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  36570212     15.62%     68.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  23334195      9.96%     78.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  21092496      9.01%     87.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  17907426      7.65%     95.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   8770119      3.74%     99.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    446422      0.19%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                   1099147      0.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                      235      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             234185467                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5541537     91.88%     91.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.88% # attempts to use FU when none available (Count)
