
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002712                       # Number of seconds simulated (Second)
simTicks                                   2711705904                       # Number of ticks simulated (Tick)
finalTick                                  2711705904                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     37.79                       # Real time elapsed on the host (Second)
hostTickRate                                 71766565                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8961056                       # Number of bytes of host memory used (Byte)
simInsts                                     11719506                       # Number of instructions simulated (Count)
simOps                                       15692859                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   310161                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     415317                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6646339                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.567118                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.763302                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15824179                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      140                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       15965060                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    314                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               131454                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            210616                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             6500819                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.455854                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.696662                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    777152     11.95%     11.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1321910     20.33%     32.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1532414     23.57%     55.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1163433     17.90%     73.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    913959     14.06%     87.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    450249      6.93%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    255723      3.93%     98.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     51040      0.79%     99.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     29918      0.46%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       230      0.00%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                     4791      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               6500819                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    2232      2.03%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.03% # attempts to use FU when none available (Count)
