
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     12.80                       # Real time elapsed on the host (Second)
hostTickRate                                 78126880                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8943404                       # Number of bytes of host memory used (Byte)
simInsts                                      2601609                       # Number of instructions simulated (Count)
simOps                                        5013718                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   203253                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     391700                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2450981                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.942102                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.061456                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5082120                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    30463                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5106188                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     10                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                98856                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             72557                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  52                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2396989                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.130251                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.703696                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    631526     26.35%     26.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    310437     12.95%     39.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    406082     16.94%     56.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    458413     19.12%     75.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    393038     16.40%     91.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    154988      6.47%     98.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     36279      1.51%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6226      0.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2396989                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1977     40.13%     40.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     40.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     40.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     40.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     40.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     40.13% # attempts to use FU when none available (Count)
