
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     15.32                       # Real time elapsed on the host (Second)
hostTickRate                                 65284123                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8944732                       # Number of bytes of host memory used (Byte)
simInsts                                      3413453                       # Number of instructions simulated (Count)
simOps                                        6025589                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   222842                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     393372                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2450981                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.718036                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.392688                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6298554                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       45                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6200966                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    172                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               272893                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            413222                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  45                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2358149                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.629590                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.693046                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    212706      9.02%      9.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    490817     20.81%     29.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    478278     20.28%     50.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    464541     19.70%     69.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    380170     16.12%     85.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    197622      8.38%     94.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     97054      4.12%     98.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     27002      1.15%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      9806      0.42%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       136      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                       17      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2358149                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   16842     93.21%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     93.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      5      0.03%     93.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     93.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     66      0.37%     93.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     93.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     93.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   787      4.36%     97.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     97.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     97.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     97.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   72      0.40%     98.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     98.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     98.36% # attempts to use FU when none available (Count)
