
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.46                       # Real time elapsed on the host (Second)
hostTickRate                                 57264831                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8943688                       # Number of bytes of host memory used (Byte)
simInsts                                      3211374                       # Number of instructions simulated (Count)
simOps                                        5849589                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   183897                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     334972                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2450981                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.763219                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.310240                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6023015                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       42                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6019987                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      1                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               173464                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             90842                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  42                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2408693                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.499275                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.604080                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    345912     14.36%     14.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    356324     14.79%     29.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    434783     18.05%     47.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    629226     26.12%     73.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    380168     15.78%     89.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    201532      8.37%     97.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     47219      1.96%     99.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     13465      0.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        58      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                         6      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 9                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2408693                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4519     96.37%     96.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     96.37% # attempts to use FU when none available (Count)
