
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.89                       # Real time elapsed on the host (Second)
hostTickRate                                 72009544                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8955788                       # Number of bytes of host memory used (Byte)
simInsts                                      4186723                       # Number of instructions simulated (Count)
simOps                                        5658862                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   301481                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     407488                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2450981                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.585418                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.708183                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5887517                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       52                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5871479                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    886                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               228618                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            380153                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  34                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2352230                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.496133                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.518014                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    283503     12.05%     12.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    268661     11.42%     23.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    716606     30.46%     53.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    433774     18.44%     72.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    462287     19.65%     92.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    124078      5.27%     97.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     50028      2.13%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      9516      0.40%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2039      0.09%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                      1726      0.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                       12      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2352230                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8896     13.15%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.15% # attempts to use FU when none available (Count)
