
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001000                       # Number of seconds simulated (Second)
simTicks                                   1000000000                       # Number of ticks simulated (Tick)
finalTick                                  1000000000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.70                       # Real time elapsed on the host (Second)
hostTickRate                                 72986888                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8938708                       # Number of bytes of host memory used (Byte)
simInsts                                      3493733                       # Number of instructions simulated (Count)
simOps                                        6400070                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   254993                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     467114                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2450981                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.701536                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.425443                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6546009                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       85                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6477771                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined               145983                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            273615                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  85                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2410064                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.687800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.641739                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    144014      5.98%      5.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    498421     20.68%     26.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    573318     23.79%     50.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    471325     19.56%     70.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    459130     19.05%     89.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     19602      0.81%     89.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    226073      9.38%     99.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     17681      0.73%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       496      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                         4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 9                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2410064                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     429     76.61%     76.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     76.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     76.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     76.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     76.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     76.61% # attempts to use FU when none available (Count)
