
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020240                       # Number of seconds simulated (Second)
simTicks                                  20240319408                       # Number of ticks simulated (Tick)
finalTick                                 20240319408                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    278.69                       # Real time elapsed on the host (Second)
hostTickRate                                 72627581                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8946604                       # Number of bytes of host memory used (Byte)
simInsts                                     56120641                       # Number of instructions simulated (Count)
simOps                                      108286610                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   201375                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     388561                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         49608627                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.883964                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.131268                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       109079698                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   558212                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      109550874                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      3                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1351294                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            864109                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  88                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            49542484                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.211251                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.670598                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11461033     23.13%     23.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6930724     13.99%     37.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8070918     16.29%     53.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10648108     21.49%     74.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8952280     18.07%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2413349      4.87%     97.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    861568      1.74%     99.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    147321      0.30%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     57178      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                         4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              49542484                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   60555     39.64%     39.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     39.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     39.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     39.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     39.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     39.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     39.64% # attempts to use FU when none available (Count)
