
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010579                       # Number of seconds simulated (Second)
simTicks                                  10579406952                       # Number of ticks simulated (Tick)
finalTick                                 10579406952                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    170.52                       # Real time elapsed on the host (Second)
hostTickRate                                 62042857                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8946556                       # Number of bytes of host memory used (Byte)
simInsts                                     35890384                       # Number of instructions simulated (Count)
simOps                                       67437427                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   210479                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     395486                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         25929920                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.722475                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.384130                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        69214710                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      106                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       68707988                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      4                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1777383                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3229390                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 106                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            25852542                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.657688                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.604988                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2947569     11.40%     11.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3272803     12.66%     24.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5947414     23.01%     47.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5731610     22.17%     69.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4518464     17.48%     86.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2482952      9.60%     96.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    813339      3.15%     99.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    130473      0.50%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      7764      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                        86      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                       68      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25852542                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  103962     92.29%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     92.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     27      0.02%     92.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     92.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     92.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     1      0.00%     92.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     92.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     92.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     92.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     92.32% # attempts to use FU when none available (Count)
