
---------- Begin Simulation Statistics ----------
simSeconds                                   0.023423                       # Number of seconds simulated (Second)
simTicks                                  23423120472                       # Number of ticks simulated (Tick)
finalTick                                 23423120472                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    367.17                       # Real time elapsed on the host (Second)
hostTickRate                                 63793265                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8959036                       # Number of bytes of host memory used (Byte)
simInsts                                    120330837                       # Number of instructions simulated (Count)
simOps                                      160297439                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   327723                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     436573                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         57409610                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.477098                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.096005                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       160481677                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      127                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      161860298                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    548                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               184359                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            240762                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  91                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            57289754                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.825292                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.419725                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1933634      3.38%      3.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6043426     10.55%     13.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  19577558     34.17%     48.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11726329     20.47%     68.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  12002551     20.95%     89.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3694869      6.45%     95.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1462023      2.55%     98.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    575903      1.01%     99.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    266398      0.47%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                      7053      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                       10      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              57289754                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  155955     10.25%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     10.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     10.25% # attempts to use FU when none available (Count)
