
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006333                       # Number of seconds simulated (Second)
simTicks                                   6333211824                       # Number of ticks simulated (Tick)
finalTick                                  6333211824                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     93.39                       # Real time elapsed on the host (Second)
hostTickRate                                 67813792                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8941692                       # Number of bytes of host memory used (Byte)
simInsts                                     24335051                       # Number of instructions simulated (Count)
simOps                                       44667670                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   260571                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     478285                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         15522579                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.637869                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.567720                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        44683186                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      123                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       44679375                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined                15633                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             21717                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 123                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            15470302                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.888074                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.618327                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    224596      1.45%      1.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3165325     20.46%     21.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3649446     23.59%     45.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3598777     23.26%     68.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2921683     18.89%     87.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     72717      0.47%     88.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1611799     10.42%     98.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    109962      0.71%     99.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    115992      0.75%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                         4      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              15470302                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     426     77.03%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     77.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      1      0.18%     77.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     77.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     77.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     77.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     77.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     77.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     77.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     77.22% # attempts to use FU when none available (Count)
