
---------- Begin Simulation Statistics ----------
simSeconds                                   0.095557                       # Number of seconds simulated (Second)
simTicks                                  95556958656                       # Number of ticks simulated (Tick)
finalTick                                 99135252072                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1607.92                       # Real time elapsed on the host (Second)
hostTickRate                                 59429101                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8952776                       # Number of bytes of host memory used (Byte)
simInsts                                    314628987                       # Number of instructions simulated (Count)
simOps                                      589914879                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   195674                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     366880                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        234208232                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.744395                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.343373                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       601630592                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      111                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      598178984                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     12                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11715832                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          20515213                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  93                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           234159596                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.554578                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.977364                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  47720890     20.38%     20.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  34528982     14.75%     35.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  37950757     16.21%     51.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  40288118     17.21%     68.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  28270289     12.07%     80.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  24345858     10.40%     91.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  15791050      6.74%     97.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4847531      2.07%     99.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    350491      0.15%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                     65557      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                       73      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             234159596                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2976705     91.87%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     91.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  65712      2.03%     93.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     93.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     93.90% # attempts to use FU when none available (Count)
