
---------- Begin Simulation Statistics ----------
simSeconds                                   0.089985                       # Number of seconds simulated (Second)
simTicks                                  89984931216                       # Number of ticks simulated (Tick)
finalTick                                 93084480696                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1467.12                       # Real time elapsed on the host (Second)
hostTickRate                                 61334327                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8951412                       # Number of bytes of host memory used (Byte)
simInsts                                    281811033                       # Number of instructions simulated (Count)
simOps                                      537339979                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   192084                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     366254                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        220551302                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.782621                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.277757                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       547303456                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   112439                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      545687458                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1218                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10075924                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12209975                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              100264                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           220520276                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.474546                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.947490                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  44495855     20.18%     20.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  41710482     18.91%     39.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  30913897     14.02%     53.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  31365455     14.22%     67.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  32334384     14.66%     82.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  22611214     10.25%     92.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  14254302      6.46%     98.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2544340      1.15%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    290134      0.13%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       183      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                       30      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             220520276                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1597817     73.85%     73.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     73.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     73.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     73.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     73.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     73.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     73.85% # attempts to use FU when none available (Count)
