
---------- Begin Simulation Statistics ----------
simSeconds                                   0.051787                       # Number of seconds simulated (Second)
simTicks                                  51787361256                       # Number of ticks simulated (Tick)
finalTick                                 54447166296                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    921.11                       # Real time elapsed on the host (Second)
hostTickRate                                 56223039                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8949896                       # Number of bytes of host memory used (Byte)
simInsts                                    198030383                       # Number of instructions simulated (Count)
simOps                                      334404127                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   214992                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     363046                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        126929807                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.640961                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.560157                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       334423409                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       54                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      334616303                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined                19473                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              4108                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  54                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           126918131                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.636474                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.643166                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8551083      6.74%      6.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  25536942     20.12%     26.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  29785689     23.47%     50.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  32080555     25.28%     75.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13553910     10.68%     86.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8507079      6.70%     92.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6386306      5.03%     98.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1935195      1.52%     99.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    581266      0.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       106      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 9                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             126918131                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1160212     85.63%     85.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     85.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     85.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     85.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     85.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     85.63% # attempts to use FU when none available (Count)
