
---------- Begin Simulation Statistics ----------
simSeconds                                   0.095728                       # Number of seconds simulated (Second)
simTicks                                  95728046928                       # Number of ticks simulated (Tick)
finalTick                                 95728046928                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1526.00                       # Real time elapsed on the host (Second)
hostTickRate                                 62731366                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8948180                       # Number of bytes of host memory used (Byte)
simInsts                                    324628987                       # Number of instructions simulated (Count)
simOps                                      608744540                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   212732                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     398915                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        234627567                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.722756                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.383593                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       625290810                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      534                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      620677175                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      6                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             16546798                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          28158805                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 480                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           234548494                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.646264                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.596863                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  26341302     11.23%     11.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  31030756     13.23%     24.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  53467359     22.80%     47.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  52177506     22.25%     69.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  40808184     17.40%     86.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  22541724      9.61%     96.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7098369      3.03%     99.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1020375      0.44%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     61838      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       526      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                      555      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             234548494                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  872217     91.08%     91.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     91.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.08% # attempts to use FU when none available (Count)
