
---------- Begin Simulation Statistics ----------
simSeconds                                   0.297241                       # Number of seconds simulated (Second)
simTicks                                 297240812016                       # Number of ticks simulated (Tick)
finalTick                                297240812016                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4849.15                       # Real time elapsed on the host (Second)
hostTickRate                                 61297532                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8947480                       # Number of bytes of host memory used (Byte)
simInsts                                   1088685249                       # Number of instructions simulated (Count)
simOps                                     1921813715                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   224510                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     396319                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           408                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        728531403                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.669185                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.494356                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1985299700                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      102                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1962628258                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  56057                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             63486081                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          99709489                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 102                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           728428984                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.694330                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.668479                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  49721832      6.83%      6.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 156034733     21.42%     28.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 151064038     20.74%     48.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 146133200     20.06%     69.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 119676762     16.43%     85.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  62978700      8.65%     94.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  30822448      4.23%     98.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   8574560      1.18%     99.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3308249      0.45%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    101919      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    12543      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                10                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             728428984                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 5479603     92.92%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     92.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                    448      0.01%     92.93% # attempts to use FU when none available (Count)
